$insert_id,distinct_id,time,event,colorTheme,luckyNumber
dfcda21a1f5922c909e2546fc3108b97b4d197ba,7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,2023-03-05 02:51:23,link_click,violet,13
4aac9fb80ab2ffcda12527295a4dac12de325820,274fb591-d53e-59cc-8cf0-5ad05197d384,2023-03-04 01:18:09,page_view,violet,5
10ed6feb69c0d207d57dc200674624114d1fb782,f4141b18-5516-5e36-bfec-75b27a6c9a55,2023-03-03 11:24:58,page_view,violet,11
599033b090cfcb9ba6d46e34fc23794ebad4d6bf,f4141b18-5516-5e36-bfec-75b27a6c9a55,2023-03-04 02:02:18,log_in,red,11
1e3345b9153d3438cec6d5d4fc8c115a1147942f,f4141b18-5516-5e36-bfec-75b27a6c9a55,2023-02-24 01:02:03,page_view,indigo,17
b8f06d602125e3ee0489b8ae089f58683154659a,f4141b18-5516-5e36-bfec-75b27a6c9a55,2023-03-16 07:51:56,log_in,violet,17
eea99c6f565cf2d7b84d0dcf3341a85871a4637f,e6030963-d08b-5ee3-ba22-92fb186adadd,2023-02-22 09:36:06,button_click,blue,53
fe315d617369d8ba3c1d63c7a67ab6787ca70380,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-02-18 03:02:58,button_click,violet,97
54991de38d64586d17ca3745dbc75e8f1aed69d9,5d816dc1-1d4a-50fd-853f-362a31bda9ef,2023-02-21 11:09:06,link_click,indigo,11
83fa8b74d07478ae9b42f4b16c3755453db4896e,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-02-18 05:18:01,watch_video,indigo,3
4ecc5331c1d4842337453955e013855f905f3e47,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-02-17 09:16:04,log_in,green,5
34dc635c029a72b842c3bb5607d549a9cd68a37a,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-10 07:58:30,button_click,orange,42
d0a49c3bb3b2b18cf4e9fb7477701c604ddf9622,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-04 02:04:20,button_click,yellow,42
ba0f04eda819f3e10189c197f04dd01ca741979e,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-03 04:47:57,watch_video,orange,61
57d80da64fdcea8661d46182503d51fde90811fa,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-03 05:50:41,watch_video,green,79
d2ddc5c9b5cd30f84dc7744005d7dc8cd921d936,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-01 06:56:22,button_click,violet,67
6a7e4e024e391c273f84d1ec8edbc5c3e8301d96,2cf23817-dfa9-506d-892b-0a771147b5b9,2023-03-11 12:12:38,link_click,blue,67
4386383299c9ee324cb30bc5f36a6f02e5fddc55,709a878f-1a5a-55d4-902a-93700a9af939,2023-03-03 10:46:01,button_click,violet,43
64ac8f6b6d62eb1b4926797a2bec6b91279bdad6,709a878f-1a5a-55d4-902a-93700a9af939,2023-03-04 11:09:53,watch_video,green,42
44e2a611a9866c72bd2d31d6cd8de205482d1eda,a1e02d3d-778b-5816-a08b-1bc7a044c5fe,2023-03-10 07:50:10,button_click,blue,42
544232b3d37799a318bcd064f4ad6d5297d13a4f,16750888-1f45-55d1-9faa-62609cf53d93,2023-03-03 05:13:38,page_view,green,41
399986cb314c5bd4e221b1e88caee0d1c8d12b10,16750888-1f45-55d1-9faa-62609cf53d93,2023-02-26 03:52:53,page_view,yellow,37
4b9271dfbc23d385b96779b7c598c20c573761a5,ecc31131-c9ac-5efa-9270-d9bf878b66d1,2023-02-09 04:16:23,button_click,green,11
7bc8f1b5a33b253fef786ef2fd9625b7f8c7b800,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-02-07 01:55:54,watch_video,red,23
85033426401018d7c681a77b2aca129cba0ed210,7f3d997a-8c37-56e0-8058-55f89de44ab8,2023-03-09 03:39:40,page_view,yellow,61
c667ea0d393b2d732fe4135428d12e71d6c364c7,4d47fab8-2037-5ec1-8eae-66019b9686b6,2023-03-06 08:01:02,watch_video,green,42
cd17e340ee48368608830ec02bb95f3d9d9b09fa,dcd18860-618c-5673-bce3-f673dfcfeb33,2023-03-16 06:09:16,page_view,violet,43
1a074ade80ca9bcc0dab3c4b8eece6b0b989342d,dcd18860-618c-5673-bce3-f673dfcfeb33,2023-03-14 01:38:17,watch_video,red,42
78dba3b08177c9fd0f7cf3728aa582ed21d5aeff,dcd18860-618c-5673-bce3-f673dfcfeb33,2023-02-09 09:33:47,page_view,blue,97
98e842b6e4d8013c12a5676ead47c2c957c62f60,195f743a-4a13-591a-a854-984a17841fff,2023-03-09 02:00:24,page_view,green,42
4ca3ff50d27be378e9fc221270734233f7ddcf38,996890c2-2108-5009-8d21-79e98db5ca53,2023-03-15 12:40:16,log_in,violet,23
ff574a8a06b45ba6e9377ccfdea221b820503149,996890c2-2108-5009-8d21-79e98db5ca53,2023-03-15 07:03:09,page_view,violet,47
27d846b099ebd86de9d927d7f9e3b0abb222930f,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2023-02-04 08:11:20,page_view,red,37
b00688be72ffad7a1f24adb952906867a4e80462,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2023-02-28 04:52:10,page_view,blue,42
eb12814ceb360b97f7ab915d29dea324eb44f557,3b03ccbe-7cb4-5d82-ac54-f97633e0ffd1,2023-03-14 02:31:50,watch_video,green,19
9980cbd68f64190333766d34c0936f48e59a14df,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2023-03-13 10:34:40,watch_video,blue,7
5a419c6637e080fad47a6311d7acbe85237d8a64,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2023-02-28 09:00:57,page_view,violet,73
347b75f1914a93c108d08a34ad95884a2f0ddcd1,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2023-02-09 12:55:36,watch_video,green,7
be35e68e59f49da0fb30b4e5c8fbf594e6839db4,f805ff33-1ff7-54d3-8eab-96064cba0ae6,2023-03-07 03:16:51,watch_video,indigo,2
a452523f6db1efde326ad4105f502642a1de1649,b1391394-cb4d-5f7e-a99e-03a1d2ecb208,2023-03-04 11:24:12,link_click,yellow,11
5d3b42bc7b4b0799a570191174fb934e1603efaf,6e401518-4509-5c71-900a-0bec7e8c933e,2023-02-25 10:11:51,page_view,orange,42
43130162b3eb03a0d51fb9e3a08eb8ee24ad81fc,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2023-03-06 10:12:10,link_click,violet,2
11c7cf98dd08fda63a9fc355a3476237fa8530dc,73269584-a9a3-5c7c-962f-7730b1ed1e6a,2023-03-03 10:39:49,button_click,blue,11
5591353fe5be6250b27d92ece6726bb1ca071e76,19a13499-e0d6-5474-a6ac-24cac1c0d937,2023-03-12 09:48:49,log_in,green,41
0c4e246004bd58d777b14575851c9ab8cdffa8ae,19a13499-e0d6-5474-a6ac-24cac1c0d937,2023-02-14 12:18:40,page_view,green,11
f8d66e7fbc5cccff697981fe821dd91e9edf5a9c,df8ce127-47dc-52db-9146-28efdfd508be,2023-02-23 09:38:59,watch_video,violet,41
5644b70540134f2c2934faf8af2ce02013d253d8,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2023-03-02 03:12:02,page_view,blue,43
70e4bb270461f8071256d712ce9dfee748fc4328,502185b5-6af8-5da3-ad3c-0ff83a0f2793,2023-02-22 11:07:44,button_click,violet,67
2bd9fdcf05a0cf03d3195782c98e2f865801f78b,50f4beba-c696-5fd1-9598-523f674e89a4,2023-02-23 07:24:06,link_click,green,37
6fd59e9fe113a81ca2bb900b94f0869fba15f2e1,bc641c33-ea45-59b4-aacf-723e3a0c3444,2023-03-01 09:29:54,log_in,green,2
0016b35b989c736e10708bcd3c7ee063e5104cea,bc641c33-ea45-59b4-aacf-723e3a0c3444,2023-03-03 12:26:37,log_in,red,67
f87d0ab041bccfdd24b6c7c6c67e1f310da59a69,ff2e5c6c-7138-5602-aabf-2c9d57317a77,2023-03-01 06:52:59,button_click,indigo,13
28e71b1d78a039047830f89df39f07194207c92f,ba6f3459-f733-5f47-bec6-4ea74476b622,2023-03-15 02:29:48,button_click,blue,97
579605b5498cd9a4664af5091ed931f992c2e693,ba6f3459-f733-5f47-bec6-4ea74476b622,2023-02-06 09:15:28,watch_video,violet,89
5eba080a82f031f81d04287cd73645168e3720ab,ba6f3459-f733-5f47-bec6-4ea74476b622,2023-02-21 08:36:38,page_view,violet,73
4215046d326c7d2c824f300f0da886325c7e2439,ba6f3459-f733-5f47-bec6-4ea74476b622,2023-03-13 06:35:29,page_view,blue,67
7224440fa4b506a496c228ca2c0319e2676cf262,ba6f3459-f733-5f47-bec6-4ea74476b622,2023-03-16 08:41:47,watch_video,blue,42
3251e8f222a854a2150434d86940f3d31bf563b5,c2e90a92-f097-597b-80be-c17c2fa9fd89,2023-02-08 10:57:29,page_view,green,7
564d1bc197f5b749dd83ce7a5bbdc48a02b13182,c051faaa-db72-5acf-bc8a-970fdd9cb670,2023-03-08 03:05:16,page_view,violet,37
e92df05caede19337b142826c30112a16a7384f2,826ab0a4-6aec-5e5b-9141-5b1c81080920,2023-03-05 05:10:43,button_click,red,89
a6a06ac8ad511362b84348b075bd22bd77b016f1,100176f5-41e7-5a1d-bbe9-f8d30c14b0cf,2023-02-26 09:05:33,page_view,green,3
786e0279c8c64fd27bced8290e2e4e51724b8a8d,100176f5-41e7-5a1d-bbe9-f8d30c14b0cf,2023-03-04 04:49:11,watch_video,green,41
9e564bc8bc72e88054db6bc216119688b5f48a85,64174924-7c91-5d93-8c67-aa66adf6cfa7,2023-02-28 08:23:10,watch_video,violet,89
8c284b6f5a68560e171028dba02307bd54d8b942,380262fd-c894-5872-91d5-ff472d42e2ff,2023-03-06 10:41:07,watch_video,yellow,11
b92bcc15d424ef768f180cdd8998f74746c40748,380262fd-c894-5872-91d5-ff472d42e2ff,2023-03-13 02:24:15,watch_video,violet,43
495042859e8359c59f7dc0f1d38ff58f7385f31d,b3fdc697-a9da-5343-93d2-6633489e56a6,2023-03-02 05:20:15,page_view,violet,97
72c0e3847493d3661a92ea558923898b12ef0c07,2de46ed4-2dfe-503a-bb02-eece15958907,2023-03-01 11:20:40,page_view,blue,42
85836bb7ce4f8948ed687ab4ec1d5370c8969a1a,2de46ed4-2dfe-503a-bb02-eece15958907,2023-02-10 05:22:45,page_view,green,47
497760e6f22833fd507561491974c2f64c54feb7,7d98d8a6-cea8-551d-b624-a9cf1e822aec,2023-03-12 04:34:58,watch_video,violet,42
be0eb321284733990612e77dadc865ab8b372354,7d98d8a6-cea8-551d-b624-a9cf1e822aec,2023-02-19 01:10:59,page_view,yellow,79
513c6e08f4782d6f48b912ac565b187f4d1295f7,7d98d8a6-cea8-551d-b624-a9cf1e822aec,2023-03-05 09:23:29,watch_video,green,89
11ad8365dcd9fd0608e43558a0f62809dbc2a50b,56e3fbcf-e851-5a51-8b09-fcb585a2e8c8,2023-02-22 01:01:40,page_view,violet,5
93243cf1cc10bf287cbc619678f81ed6153dfa1b,840cf701-4641-546b-b385-cdf2189408ad,2023-03-04 08:47:55,watch_video,red,31
721288a1daf54ce8250b150388fee753e83c8914,840cf701-4641-546b-b385-cdf2189408ad,2023-02-02 02:59:52,page_view,violet,71
42a888634552d5c9ec2b4417a49fe505e4ebb264,840cf701-4641-546b-b385-cdf2189408ad,2023-02-21 09:17:37,button_click,green,19
90cc65a4298e539844a6e69c6cb151a9000489be,d4eda415-61d5-5b1d-8d3b-66ba80bf132a,2023-02-13 02:17:52,watch_video,yellow,83
7f0d6f9a2acfbce92b3532253b7975177264c5e3,d4eda415-61d5-5b1d-8d3b-66ba80bf132a,2023-02-07 04:32:38,page_view,blue,42
36e2e6850ab4dd7ab39beb7a153e81f0e0e03adb,fafc3e47-5a48-5ae5-9669-f9fd46745960,2023-03-16 09:33:36,log_in,orange,7
36ff63cdf3c83a10dc1c770d2e67873873b4bfa8,fafc3e47-5a48-5ae5-9669-f9fd46745960,2023-03-16 09:32:04,watch_video,violet,42
d5e51c94878e583651c7aa2015fc8e4eef11c744,36508166-840f-5bbe-8cb3-6e7de0f48a36,2023-02-25 02:37:13,button_click,yellow,71
bd05390f859167fa1ec4dc6126874e76295bf9cd,36508166-840f-5bbe-8cb3-6e7de0f48a36,2023-02-19 10:15:52,watch_video,yellow,67
e3f2c9605658641b81de2da61e87a137ada0dcad,85aa326b-4ce3-59fd-acdc-b59bec4d5c2d,2023-03-16 10:01:06,page_view,red,73
1f11645762c7a76e8ff6b5ddbb126c658f6103cb,85aa326b-4ce3-59fd-acdc-b59bec4d5c2d,2023-02-15 06:59:45,page_view,red,42
87028bb80fc4488719192de6f3b540b477aeac02,85aa326b-4ce3-59fd-acdc-b59bec4d5c2d,2023-02-18 01:18:53,button_click,indigo,42
783455fbd6ba637170606d69072bb3fc082426c6,85aa326b-4ce3-59fd-acdc-b59bec4d5c2d,2023-02-11 03:49:26,link_click,violet,19
c3f0f6746787cc4278903d47e7bb82b1a5b509a7,ad269b4c-3643-558c-84ec-253ba84566aa,2023-02-19 03:41:48,button_click,green,29
93c5c2cdb491908f1d16b2ea951852d79b0b324b,34f258d4-de97-5421-a373-18b754cd81b6,2023-03-15 08:49:39,page_view,green,11
1b92516157126196866648fa07c2253a59bd68e9,34f258d4-de97-5421-a373-18b754cd81b6,2023-03-02 06:29:11,log_in,red,53
b9dd72d1b927f02cab603a472f0e69aa9210b943,fc611b3a-08d1-527a-8d25-8d64f9e553ca,2023-02-18 07:08:31,log_in,indigo,3
088af60749bf27b93ae9d1dd7a7e45514255e495,fc611b3a-08d1-527a-8d25-8d64f9e553ca,2023-02-23 05:23:24,log_in,green,73
9000f9e2c2b6dbf42e55c49aeafda31a54daaeae,fc611b3a-08d1-527a-8d25-8d64f9e553ca,2023-03-03 06:02:13,page_view,indigo,37
670d90515c08cddf809f8e24c696f8f2ad25d425,fc611b3a-08d1-527a-8d25-8d64f9e553ca,2023-03-08 05:27:41,button_click,violet,29
1604d12d87e388055079306ef2e879c97c196144,fc611b3a-08d1-527a-8d25-8d64f9e553ca,2023-03-05 07:43:00,watch_video,yellow,89
14c7c260836a4ff68715054e059d617e707506dc,8467f228-a48a-5ecd-a892-dacdcb31ce1d,2023-03-14 07:21:07,watch_video,red,59
57647563bce47ff5dbbe703d92221038a471fd42,8467f228-a48a-5ecd-a892-dacdcb31ce1d,2023-03-13 12:33:05,watch_video,red,61
a08a0894e43a8580ae6747e98563321ef367d552,8467f228-a48a-5ecd-a892-dacdcb31ce1d,2023-03-10 03:19:03,page_view,blue,11
75c448da87232dedeb878478527419094bfdd331,99130b45-db95-5108-897b-bb7c4c5c9bc9,2023-03-16 10:24:00,log_in,violet,11
